%time,field.left_wheel,field.right_wheel
1304221334027440071,3.92337012291,3.76643514633
1304221334067382097,3.93068313599,3.77345585823
1304221334107355117,3.76862430573,3.76862430573
1304221334147444009,3.92390012741,3.76694417
1304221334187463998,3.76815438271,3.76815438271
1304221334227408885,3.92997097969,3.77277207375
1304221334267411947,3.76919746399,3.76919746399
1304221334307435989,3.76939511299,3.76939511299
1304221334347521066,3.76337075233,3.76337075233
1304221334395399093,3.14679431915,3.54014372826
1304221334431278944,4.55876350403,4.20808935165
1304221334467453956,3.82220768929,3.82220768929
1304221334511406898,3.71273064613,3.85552811623
1304221334547451972,3.6648645401,3.6648645401
1304221334587438106,3.77069807053,3.77069807053
1304221334627449035,3.92540073395,3.76838469505
1304221334667413949,3.61327075958,3.61327075958
1304221334707467079,3.92795658112,3.77083826065
1304221334747422933,3.76792430878,3.92492103577
1304221334787435054,3.92910838127,3.77194404602
1304221334827439069,3.76951527596,3.76951527596
1304221334867444992,3.92645287514,3.61233663559
1304221334907443046,3.770840168,3.770840168
1304221334947438001,3.76922082901,3.76922082901
1304221334987308979,3.61592698097,3.77314138412
1304221335027468919,3.76691412926,3.76691412926
1304221335067439079,3.76761889458,3.76761889458
1304221335107440948,3.77062964439,3.92773914337
1304221335147447109,3.77081298828,3.92793011665
1304221335187351942,3.77309250832,3.77309250832
1304221335227436065,3.76672172546,3.92366838455
1304221335267400026,3.92776322365,3.92776322365
1304221335307440042,3.76990437508,3.76990437508
1304221335347461938,3.76613879204,3.76613879204
1304221335387438058,3.77448678017,3.77448678017
1304221335427445888,3.76852297783,3.76852297783
1304221335467441082,3.92703795433,3.61287498474
1304221335507416009,3.77006006241,3.77006006241
1304221335547444105,3.76990294456,3.76990294456
1304221335587407112,3.92741632462,3.77031970024
1304221335627434968,3.61300778389,3.77009510994
1304221335667435884,3.76998233795,3.76998233795
1304221335707484006,3.92603635788,3.76899504662
1304221335747433900,3.77070236206,3.77070236206
1304221335787359952,3.77319836617,3.77319836617
1304221335827440023,3.60905385017,3.76596903801
1304221335867443084,3.9245326519,3.7675511837
1304221335911475896,3.42662262917,3.71217441559
1304221335947460889,4.36309337616,3.83952212334
1304221335995546102,3.52876639366,3.79015660286
1304221336039419889,3.4361410141,3.4361410141
1304221336075470924,4.36029434204,3.66264748573
1304221336116758108,3.63968896866,4.09465026855
1304221336159497022,3.53754734993,3.53754734993
1304221336199393987,3.93438911438,3.77701354027
1304221336235485076,4.00635433197,4.18054389954
1304221336275489091,3.76937937737,3.45526432991
1304221336317332029,3.75710058212,3.75710058212
1304221336355506896,3.94924616814,3.94924616814
1304221336395489931,3.93133449554,3.61682772636
1304221336439429044,3.42697525024,3.42697525024
1304221336471476078,4.90249300003,4.31419420242
1304221336515475988,3.43345737457,3.71957874298
1304221336547444105,4.31825065613,3.729398489
1304221336587423086,3.92831373215,3.77118110657
1304221336627441883,3.76975011826,3.76975011826
1304221336667419910,3.76810121536,3.76810121536
1304221336708278894,3.53210496902,3.83924436569
1304221336747435092,3.85999298096,3.69915986061
1304221336787440061,3.61212611198,3.76917505264
1304221336827440023,3.77050590515,3.77050590515
1304221336867428064,3.76829838753,3.76829838753
1304221336912120103,3.51419401169,3.79532957077
1304221336955426931,3.77363038063,3.48335123062
1304221336997498035,3.73155045509,4.03007459641
1304221337031152009,4.48140287399,4.10795259476
1304221337071835041,3.54824829102,3.70251989365
1304221337112416028,3.70052194595,3.70052194595
1304221337151357889,4.05511951447,3.89291477203
1304221337192615985,3.65472650528,3.65472650528
1304221337231314897,4.05996990204,3.8975713253
1304221337267870903,3.61100125313,3.78295373917
1304221337307766914,3.7687728405,3.7687728405
1304221337347850084,3.76902079582,3.76902079582
1304221337387897968,3.76701045036,3.76701045036
1304221337427789926,3.76966524124,3.76966524124
1304221337467750072,3.61730337143,3.93185138702
1304221337507422924,3.96955776215,3.96955776215
1304221337547880887,3.72661232948,3.72661232948
1304221337587779998,3.76977443695,3.76977443695
1304221337627867937,3.92569541931,3.76866769791
1304221337667864084,3.77355694771,3.77355694771
1304221337707782983,3.76808977127,3.76808977127
1304221337751044988,3.48377561569,3.48377561569
1304221337795007944,3.43117427826,3.57413983345
1304221337831402063,3.98358774185,4.15678739548
1304221337867477893,4.17914104462,3.65674829483
1304221337910979032,3.46653747559,3.46653747559
1304221337951502084,3.72164964676,4.03178739548
1304221337995424985,3.43307471275,3.57611942291
1304221338027466058,4.7052359581,4.11708164215
1304221338075413942,3.14425516129,3.53728699684
1304221338119602918,3.6958501339,3.6958501339
1304221338159605026,3.77251195908,3.92969989777
1304221338195549964,3.83920931816,3.83920931816
1304221338231630086,4.01579284668,3.84119296074
1304221338267529010,4.18854522705,4.36306810379
1304221338307522058,3.61357450485,3.77068662643
1304221338347484111,3.76943540573,3.92649507523
1304221338387521028,3.61326432228,3.92746114731
1304221338427519083,3.77063465118,3.77063465118
1304221338467492103,3.76664495468,3.76664495468
1304221338507543087,3.77327656746,3.77327656746
1304221338547525882,3.61268091202,3.76975417137
1304221338587537050,3.7694401741,3.7694401741
1304221338627542018,3.61306881905,3.7701587677
1304221338667511940,3.7704231739,3.92752408981
1304221338707540988,3.76948332787,3.76948332787
1304221338747540950,3.77014017105,3.92722940445
1304221338787518978,3.77004528046,3.77004528046
1304221338827533006,3.92676782608,3.61262655258
1304221338867558956,3.92671275139,3.76964426041
1304221338907557964,3.77046465874,3.77046465874
1304221338947567939,3.61232805252,3.92644357681
1304221338987552881,3.77056121826,3.77056121826
1304221339027550935,3.92681002617,3.76973772049
1304221339067562103,3.76927399635,3.61222100258
